feed_copterspotter  | 2024-10-25 07:48:35,472 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842515.0 B407 N494PH no call (N494PH) head 238.33 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:51:36,809 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 53 times
feed_copterspotter  | 2024-10-25 07:51:36,810 - feed_copterspotter - INFO - Heli Reported a62041: 1729842696.0 B407 N494PH  altbaro 1000 altgeom 975 head 231.62 Lat: 38.602249, Lon: -76.915821 gs 128.8 rssi -23.7 no squawk
feed_copterspotter  | 2024-10-25 07:52:07,206 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 54 times
feed_copterspotter  | 2024-10-25 07:52:07,206 - feed_copterspotter - INFO - Heli Reported a62041: 1729842726.0 B407 N494PH  altbaro 1000 altgeom 975 head 231.62 Lat: 38.591446, Lon: -76.933136 gs 128.8 rssi -24.4 5202
feed_copterspotter  | 2024-10-25 07:52:37,597 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 55 times
feed_copterspotter  | 2024-10-25 07:52:37,597 - feed_copterspotter - INFO - Heli Reported a62041: 1729842757.0 B407 N494PH  altbaro 1000 altgeom 975 head 231.62 Lat: 38.579865, Lon: -76.951825 gs 128.8 rssi -23.0 5202
feed_copterspotter  | 2024-10-25 07:53:07,781 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 56 times
feed_copterspotter  | 2024-10-25 07:53:07,781 - feed_copterspotter - INFO - Heli Reported a62041: 1729842787.0 B407 N494PH  altbaro 1000 altgeom 975 head 231.27 Lat: 38.568787, Lon: -76.969618 gs 129.5 rssi -23.7 5202
feed_copterspotter  | 2024-10-25 07:53:37,984 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 57 times
feed_copterspotter  | 2024-10-25 07:53:37,985 - feed_copterspotter - INFO - Heli Reported a62041: 1729842817.0 B407 N494PH  altbaro 1400 altgeom 1375 head 233.66 Lat: 38.55899, Lon: -76.986217 gs 108.0 rssi -24.4 5202
feed_copterspotter  | 2024-10-25 07:54:08,206 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 58 times
feed_copterspotter  | 2024-10-25 07:54:08,206 - feed_copterspotter - INFO - Heli Reported a62041: 1729842848.0 B407 N494PH  altbaro 1750 altgeom 1725 head 233.02 Lat: 38.551956, Lon: -76.99823 gs 101.4 rssi -22.3 5202
feed_copterspotter  | 2024-10-25 07:54:38,400 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 59 times
feed_copterspotter  | 2024-10-25 07:54:38,400 - feed_copterspotter - INFO - Heli Reported a62041: 1729842878.0 B407 N494PH  altbaro 1950 altgeom 1925 head 231.71 Lat: 38.54892, Lon: -77.003293 gs 96.8 rssi -23.7 5202
feed_copterspotter  | 2024-10-25 07:55:08,617 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 60 times
feed_copterspotter  | 2024-10-25 07:55:08,617 - feed_copterspotter - INFO - Heli Reported a62041: 1729842908.0 B407 N494PH  altbaro 1950 altgeom 1925 head 231.71 Lat: 38.54892, Lon: -77.003293 gs 96.8 rssi -23.7 no squawk
feed_copterspotter  | 2024-10-25 07:55:38,797 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 61 times
feed_copterspotter  | 2024-10-25 07:55:38,797 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842938.0 B407 N494PH  no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:56:08,804 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 62 times
feed_copterspotter  | 2024-10-25 07:56:08,804 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842968.0 B407 N494PH  head 231.84 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:56:38,810 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 63 times
feed_copterspotter  | 2024-10-25 07:56:38,811 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729842998.0 B407 N494PH  head 231.84 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 07:59:38,855 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 63
feed_copterspotter  | 2024-10-25 08:00:08,866 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 64 times
feed_copterspotter  | 2024-10-25 08:00:08,866 - feed_copterspotter - INFO - Heli Reported a62041: 1729843208.0 B407 N494PH  altbaro 2375 altgeom 2350 head 232.08 Lat: 38.429105, Lon: -77.19165 gs 120.4 rssi -24.7 no squawk
feed_copterspotter  | 2024-10-25 08:00:39,135 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 65 times
feed_copterspotter  | 2024-10-25 08:00:39,135 - feed_copterspotter - INFO - Heli Reported a62041: 1729843239.0 B407 N494PH  altbaro 2375 altgeom 2350 head 232.08 Lat: 38.429105, Lon: -77.19165 gs 120.4 rssi -24.7 no squawk
feed_copterspotter  | 2024-10-25 08:30:11,154 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 65
feed_copterspotter  | 2024-10-25 09:00:41,646 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 65
feed_copterspotter  | 2024-10-25 09:31:14,806 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 65
feed_copterspotter  | 2024-10-25 10:01:47,146 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 65
feed_copterspotter  | 2024-10-25 10:32:23,845 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 65
feed_copterspotter  | 2024-10-25 17:29:51,633 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight: None tail: N494PH type: B407 seen: 1 times
feed_copterspotter  | 2024-10-25 17:29:51,634 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729877391.001 B407 N494PH no call (N494PH) head 1.01 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 17:30:22,068 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight: None tail: N494PH type: B407 seen: 2 times
feed_copterspotter  | 2024-10-25 17:30:22,068 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729877421.001 B407 N494PH no call (N494PH) head 1.01 Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 17:41:58,169 - feed_copterspotter - INFO - hex_icao: a62041 flight: None seen: 2
feed_copterspotter  | 2024-10-25 18:12:33,841 - feed_copterspotter - INFO - hex_icao: a62041 flight: None seen: 2
feed_copterspotter  | 2024-10-25 18:43:10,977 - feed_copterspotter - INFO - hex_icao: a62041 flight: None seen: 2
feed_copterspotter  | 2024-10-25 19:13:53,710 - feed_copterspotter - INFO - hex_icao: a62041 flight: None seen: 2
feed_copterspotter  | 2024-10-25 19:19:56,294 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 3 times
feed_copterspotter  | 2024-10-25 19:19:56,294 - feed_copterspotter - INFO - Heli Reported a62041: 1729883996.0 B407 N494PH  altbaro 800 altgeom 775 head 211.57 Lat: 38.871002, Lon: -76.966334 gs 112.7 rssi -22.6 no squawk
feed_copterspotter  | 2024-10-25 19:20:26,725 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 4 times
feed_copterspotter  | 2024-10-25 19:20:26,725 - feed_copterspotter - INFO - Heli Reported a62041: 1729884026.001 B407 N494PH  altbaro 825 altgeom 775 head 212.01 Lat: 38.857246, Lon: -76.9776 gs 113.2 rssi -22.3 no squawk
feed_copterspotter  | 2024-10-25 19:20:56,953 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 5 times
feed_copterspotter  | 2024-10-25 19:20:56,953 - feed_copterspotter - INFO - Heli Reported a62041: 1729884056.0 B407 N494PH  altbaro 800 altgeom 750 head 211.95 Lat: 38.845189, Lon: -76.987 gs 109.6 rssi -21.4 5202
feed_copterspotter  | 2024-10-25 19:21:27,326 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 6 times
feed_copterspotter  | 2024-10-25 19:21:27,327 - feed_copterspotter - INFO - Heli Reported a62041: 1729884087.0 B407 N494PH  altbaro 825 altgeom 800 head 214.13 Lat: 38.830353, Lon: -76.999352 gs 108.7 rssi -22.5 5202
feed_copterspotter  | 2024-10-25 19:21:57,819 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 7 times
feed_copterspotter  | 2024-10-25 19:21:57,819 - feed_copterspotter - INFO - Heli Reported a62041: 1729884117.006 B407 N494PH  altbaro 800 altgeom 750 head 211.84 Lat: 38.81763, Lon: -77.009888 gs 111.8 rssi -20.5 5202
feed_copterspotter  | 2024-10-25 19:22:28,180 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 8 times
