group,tail,type,hex,operator,onMap?,callsign,radio callsign,year,details,parking spot,Notes,media,additional media,Bot Description
FBI,N988FY,B429,ADC970,FBI black +  baby blue stripes,TRUE,yeti 170,,,,,,https://twitter.com/HelicoptersofDC/status/1613954539756949507?s=20&t=-3dbOa15Q8jDEhRx-K5fcA,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
USMC,,VH3D,,USMC HMX-1,,,,,Sea King,Quantico/JBAB,,https://twitter.com/holy_itsViper/status/1384277727457415168,"HMX1 tail numbers are visible, but very small",
USMC,159354,VH3D,,USMC HMX-1,,,,,Sea King,Quantico/JBAB,,https://twitter.com/1crazyarchitect/status/1387791527846498306/photo/1,"wikipedia: As of 2015, HMX-1 has 12 Sikorsky VH-3D of 1960s' vintage, 8 Sikorsky VH-60N from the 80s/90s era and 12 Bell-Boeing MV-22 Ospreys",
USMC,159359,VH3D,,USMC HMX-1,,,61-733,,Sea King,Quantico/JBAB,,https://twitter.com/districtheli/status/1384189611644055556/photo/1,wikipedia: The VH-3D is capable of transporting 14 passengers while the VH-60N seats 11.,
USMC,,VH60N,,USMC HMX-1,,NIGHTHAWK,,,Whitehawk,Quantico/JBAB,,https://twitter.com/holy_itsViper/status/1367581295950331905/photo/1,,
USMC,,UH60N,,USMC HMX-1,,,,,Green Top,Quantico/JBAB,,https://twitter.com/districtheli/status/1384192181519360010/photo/1,https://www.thedrive.com/the-war-zone/39191/a-rare-glimpse-of-the-lone-uh-60n-that-belongs-to-the-squadron-that-flies-marine-one,
USMC,,VH92A,,USMC HMX-1,,,,,,Quantico/JBAB,,https://twitter.com/holy_itsViper/status/1383121857457586177/photo/1,,
USMC,,V22,,USMC HMX-1,,,,,MV-22B Osprey,Quantico/JBAB,,https://twitter.com/1crazyarchitect/status/1383182429180035078/photo/2,MV-22 procurement link to equip 4 aircraft with VIP seat covers (24 seats) and cosmetics ,
,,,,,,,,,,,,,,
Army,72054,UH72,AE1F45,,,SENTRY 1,08-72054,2008,Eurocopter UH-72A Lakota,,,,,
Army,72055,UH72,AE1F46,,,,08-72055,2008,Eurocopter UH-72A Lakota,,,,,
Army,72056,UH72,AE1F47,,,,08-72056,2008,Eurocopter UH-72A Lakota,,,https://twitter.com/fergindc/status/1385314529102422016/photo/1,,
Army,72057,UH72,AE1F48,,,,08-72057,2008,Eurocopter UH-72A Lakota,,,https://twitter.com/1crazyarchitect/status/1335644358339665920/photo/1,,
