feed_copterspotter  | 2024-10-28 00:12:01,731 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 169 times
feed_copterspotter  | 2024-10-28 00:12:01,732 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074321.001 MD52 N912PG GARDN2 altbaro 700 altgeom 1025 head 237.22 Lat: 38.901077, Lon: -76.862441 gs 70.2 rssi -22.9 5142
feed_copterspotter  | 2024-10-28 00:12:01,907 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:12:31,909 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:12:31 UTC +0000 
feed_copterspotter  | 2024-10-28 00:12:31,923 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 170 times
feed_copterspotter  | 2024-10-28 00:12:31,923 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074351.001 MD52 N912PG no call (N912PG) altbaro 775 altgeom 1075 head 331.53 Lat: 38.902176, Lon: -76.875697 gs 67.1 rssi -20.9 5142
feed_copterspotter  | 2024-10-28 00:12:32,116 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:13:03,429 - feed_copterspotter - INFO - Bills File Updated from web at Mon Oct 28 00:13:03 2024
feed_copterspotter  | 2024-10-28 00:13:03,435 - feed_copterspotter - INFO - Updated bills_operators.csv at: Sun Oct 27 17:43:12 2024
feed_copterspotter  | 2024-10-28 00:13:03,435 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:13:03 UTC +0000 
feed_copterspotter  | 2024-10-28 00:13:03,447 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 171 times
feed_copterspotter  | 2024-10-28 00:13:03,448 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074383.001 MD52 N912PG no call (N912PG) altbaro 775 altgeom 1075 head 331.53 Lat: 38.902176, Lon: -76.875697 gs 67.1 rssi -20.9 5142
feed_copterspotter  | 2024-10-28 00:13:03,632 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:13:33,635 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:13:33 UTC +0000 
feed_copterspotter  | 2024-10-28 00:14:03,652 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:14:03 UTC +0000 
feed_copterspotter  | 2024-10-28 00:14:03,664 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 172 times
feed_copterspotter  | 2024-10-28 00:14:03,664 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074443.001 MD52 N912PG no call (N912PG) head 167.23 Lat: 38.905847, Lon: -76.846924 gs 76.9 rssi -23.2 no squawk
feed_copterspotter  | 2024-10-28 00:14:03,841 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:14:33,844 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:14:33 UTC +0000 
feed_copterspotter  | 2024-10-28 00:14:33,855 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 173 times
feed_copterspotter  | 2024-10-28 00:14:33,855 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074473.001 MD52 N912PG GARDN2 altbaro 500 altgeom 825 head 181.68 Lat: 38.894669, Lon: -76.844589 gs 68.0 rssi -21.8 no squawk
feed_copterspotter  | 2024-10-28 00:14:34,038 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:15:04,040 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:15:04 UTC +0000 
feed_copterspotter  | 2024-10-28 00:15:04,052 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 174 times
feed_copterspotter  | 2024-10-28 00:15:04,052 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074504.001 MD52 N912PG GARDN2 altbaro 600 altgeom 925 head 230.65 Lat: 38.889404, Lon: -76.847753 gs 64.7 rssi -22.7 5142
feed_copterspotter  | 2024-10-28 00:15:04,235 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:15:34,237 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:15:34 UTC +0000 
feed_copterspotter  | 2024-10-28 00:15:34,249 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 175 times
feed_copterspotter  | 2024-10-28 00:15:34,250 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074534.001 MD52 N912PG GARDN2 altbaro 600 altgeom 925 head 230.65 Lat: 38.889404, Lon: -76.847753 gs 64.7 rssi -22.7 5142
feed_copterspotter  | 2024-10-28 00:15:34,416 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:16:04,421 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:16:04 UTC +0000 
feed_copterspotter  | 2024-10-28 00:16:04,439 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 176 times
feed_copterspotter  | 2024-10-28 00:16:04,439 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074564.001 MD52 N912PG GARDN2 altbaro 725 altgeom 1050 head 19.49 Lat: 38.88913, Lon: -76.868114 gs 69.0 rssi -22.4 no squawk
feed_copterspotter  | 2024-10-28 00:16:04,619 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:16:34,621 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:16:34 UTC +0000 
feed_copterspotter  | 2024-10-28 00:16:34,633 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 177 times
feed_copterspotter  | 2024-10-28 00:16:34,635 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074594.001 MD52 N912PG GARDN2 altbaro 625 altgeom 950 head 19.49 Lat: 38.88913, Lon: -76.868114 gs 69.0 rssi -22.8 no squawk
feed_copterspotter  | 2024-10-28 00:16:34,827 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:17:04,830 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:17:04 UTC +0000 
feed_copterspotter  | 2024-10-28 00:17:04,843 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 178 times
feed_copterspotter  | 2024-10-28 00:17:04,843 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074624.0 MD52 N912PG GARDN2 altbaro 625 altgeom 950 head 275.04 Lat: 38.885876, Lon: -76.860474 gs 68.3 rssi -23.1 no squawk
feed_copterspotter  | 2024-10-28 00:17:05,014 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:17:35,017 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:17:35 UTC +0000 
feed_copterspotter  | 2024-10-28 00:17:35,027 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 179 times
feed_copterspotter  | 2024-10-28 00:17:35,028 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074655.0 MD52 N912PG GARDN2 altbaro 600 altgeom 925 head 275.04 Lat: 38.885876, Lon: -76.860474 gs 68.3 rssi -23.8 no squawk
feed_copterspotter  | 2024-10-28 00:17:35,205 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:18:05,207 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:18:05 UTC +0000 
feed_copterspotter  | 2024-10-28 00:18:05,218 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 180 times
feed_copterspotter  | 2024-10-28 00:18:05,218 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074685.0 MD52 N912PG GARDN2 altbaro 550 altgeom 875 head 217.79 Lat: 38.889553, Lon: -76.857849 gs 62.0 rssi -22.3 5142
feed_copterspotter  | 2024-10-28 00:18:05,387 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:18:35,390 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:18:35 UTC +0000 
feed_copterspotter  | 2024-10-28 00:18:35,411 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 181 times
feed_copterspotter  | 2024-10-28 00:18:35,411 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074715.001 MD52 N912PG GARDN2 altbaro 550 altgeom 875 head 47.12 Lat: 38.891508, Lon: -76.863403 gs 57.3 rssi -23.5 5142
feed_copterspotter  | 2024-10-28 00:18:35,594 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:19:05,598 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:19:05 UTC +0000 
feed_copterspotter  | 2024-10-28 00:19:05,617 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 182 times
feed_copterspotter  | 2024-10-28 00:19:05,618 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074745.002 MD52 N912PG GARDN2 altbaro 475 altgeom 800 head 249.68 Lat: 38.888626, Lon: -76.855097 gs 57.6 rssi -21.8 5142
feed_copterspotter  | 2024-10-28 00:19:05,871 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:19:35,875 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:19:35 UTC +0000 
feed_copterspotter  | 2024-10-28 00:19:35,885 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 183 times
